No,Condo,Street,Bedrooms,Rent,Floor.Area,Date
424,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8650,1600 to 1700,May-15
425,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,16500,>3000,May-15
426,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5000,1100 to 1200,May-15
427,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1500 to 1600,May-15
428,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,17100,>3000,May-15
429,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6900,1500 to 1600,May-15
430,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,6200,1300 to 1400,May-15
431,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7200,1600 to 1700,Apr-15
432,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5100,1000 to 1100,Apr-15
433,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,10600,2200 to 2300,Apr-15
434,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6600,1500 to 1600,Apr-15
435,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,6821,1100 to 1200,Apr-15
436,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7800,1700 to 1800,Apr-15
437,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5200,1000 to 1100,Apr-15
438,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,9500,1900 to 2000,Apr-15
439,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6600,1400 to 1500,Apr-15
440,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4600,800 to 900,Apr-15
441,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6200,1500 to 1600,Apr-15
442,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7000,1700 to 1800,Apr-15
443,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5100,1100 to 1200,Apr-15
444,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7000,1100 to 1200,Apr-15
445,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,10280,1800 to 1900,Apr-15
446,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5600,1100 to 1200,Apr-15
447,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6400,1200 to 1300,Apr-15
448,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6500,1500 to 1600,Apr-15
449,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5600,1000 to 1100,Apr-15
450,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,6000,1000 to 1100,Apr-15
451,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,10500,2300 to 2400,Apr-15
452,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6500,1500 to 1600,Apr-15
453,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5650,1200 to 1300,Apr-15
454,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4600,1100 to 1200,Apr-15
455,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5650,1100 to 1200,Apr-15
456,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,16500,>3000,Apr-15
457,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5650,1000 to 1100,Apr-15
458,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1800 to 1900,Apr-15
459,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,4500,1200 to 1300,Apr-15
460,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4400,1000 to 1100,Apr-15
461,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4900,1000 to 1100,Apr-15
462,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4000,1000 to 1100,Apr-15
463,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1500 to 1600,Apr-15
464,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7800,1600 to 1700,Apr-15
465,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7000,1600 to 1700,Apr-15
466,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,11500,1900 to 2000,Apr-15
467,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4900,1000 to 1100,Apr-15
468,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,1000 to 1100,Apr-15
469,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,15500,2200 to 2300,Apr-15
470,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,11500,2100 to 2200,Apr-15
471,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8700,1600 to 1700,Apr-15
472,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6500,1600 to 1700,Apr-15
473,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,6200,1300 to 1400,Apr-15
474,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4500,1000 to 1100,Apr-15
475,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7200,1700 to 1800,Apr-15
476,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5200,1000 to 1100,Apr-15
477,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5800,1200 to 1300,Apr-15
478,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8650,1600 to 1700,Apr-15
479,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7000,1400 to 1500,Apr-15
480,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,6550,800 to 900,Apr-15
481,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8000,1700 to 1800,Apr-15
482,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,10000,1800 to 1900,Apr-15
483,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6000,1200 to 1300,Apr-15
